latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
52.16934,14.62852,307.09,0.38,0.36,2025-02-24,01:11,N,nominal,2.0NRT,271.06,1.5,N
49.47573,23.90888,338.99,0.5,0.49,2025-02-24,01:11,N,nominal,2.0NRT,265.34,4.56,N
58.87482,1.51927,353.13,0.34,0.56,2025-02-24,01:11,N,nominal,2.0NRT,279.25,2.36,N
52.17022,14.62299,325.91,0.38,0.36,2025-02-24,01:11,N,nominal,2.0NRT,271.4,2.79,N
47.87299,33.44717,335.84,0.68,0.74,2025-02-24,01:11,N,nominal,2.0NRT,264.37,7.03,N
49.52158,23.71349,331.83,0.48,0.48,2025-02-24,01:11,N,nominal,2.0NRT,263.18,3.35,N
52.39977,12.49853,309.71,0.4,0.37,2025-02-24,01:11,N,nominal,2.0NRT,273.63,1.7,N
58.87465,1.5254,300.99,0.34,0.56,2025-02-24,01:11,N,nominal,2.0NRT,277.77,2.36,N
51.69008,15.9793,331.3,0.39,0.36,2025-02-24,01:11,N,nominal,2.0NRT,278.88,16.75,N
52.55814,39.56952,342.21,0.74,0.76,2025-02-24,01:11,N,nominal,2.0NRT,264.51,11.68,N
51.68681,15.97783,330.16,0.39,0.36,2025-02-24,01:11,N,nominal,2.0NRT,274.77,16.75,N
52.17206,14.62454,327.64,0.38,0.36,2025-02-24,01:11,N,nominal,2.0NRT,274.82,4.92,N
51.68585,15.98338,298.38,0.39,0.36,2025-02-24,01:11,N,nominal,2.0NRT,274.24,16.75,N
47.87067,33.44956,334.12,0.68,0.74,2025-02-24,01:11,N,nominal,2.0NRT,263.82,7.66,N
58.68238,17.13005,305.69,0.39,0.36,2025-02-24,01:11,N,nominal,2.0NRT,274.46,0.62,N
54.80484,22.09572,298.27,0.48,0.4,2025-02-24,01:13,N,nominal,2.0NRT,265.53,0.82,N
45.00887,29.59057,367,0.59,0.7,2025-02-24,01:13,N,high,2.0NRT,274.4,19.95,N
54.87163,22.82974,298.84,0.5,0.41,2025-02-24,01:13,N,nominal,2.0NRT,265.56,0.97,N
45.00648,29.59758,314.32,0.59,0.7,2025-02-24,01:13,N,nominal,2.0NRT,263.76,19.95,N
45.0101,29.56554,367,0.59,0.7,2025-02-24,01:13,N,high,2.0NRT,267.91,12.41,N
54.95373,22.38456,311.86,0.48,0.4,2025-02-24,01:13,N,nominal,2.0NRT,266.23,1.73,N
45.00771,29.57254,302.36,0.59,0.7,2025-02-24,01:13,N,nominal,2.0NRT,264.61,4.45,N
54.91533,22.59205,304.48,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,265.43,0.94,N
54.74148,22.57039,295.86,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,264.18,0.91,N
54.95545,22.38733,302.1,0.48,0.4,2025-02-24,01:13,N,nominal,2.0NRT,265.08,1.24,N
54.83762,22.44279,302.02,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,265.14,1.14,N
54.95196,22.38502,309.28,0.48,0.4,2025-02-24,01:13,N,nominal,2.0NRT,265.75,1.24,N
54.8345,22.45726,325.78,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,265.08,2.76,N
54.83606,22.45002,321.11,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,265.15,2.76,N
54.75686,22.55548,296.41,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,264.17,1,N
54.8327,22.45485,315.18,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,264.56,1.69,N
51.36825,6.70449,321.47,0.56,0.43,2025-02-24,01:13,N,nominal,2.0NRT,267.16,2.01,N
54.83427,22.44764,310.77,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,264.19,2.03,N
51.3675,6.7126,297.67,0.56,0.43,2025-02-24,01:13,N,nominal,2.0NRT,267.77,1.35,N
54.8362,22.45715,302.62,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,264.36,1.69,N
54.81498,22.36218,304.69,0.48,0.4,2025-02-24,01:13,N,nominal,2.0NRT,264.34,1.49,N
51.36429,6.70357,312.23,0.56,0.43,2025-02-24,01:13,N,nominal,2.0NRT,266.44,2.01,N
54.83778,22.44994,306.98,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,265.14,2.03,N
54.8413,22.45225,303.02,0.49,0.4,2025-02-24,01:13,N,nominal,2.0NRT,265.17,1.55,N
51.36355,6.71166,297.56,0.56,0.43,2025-02-24,01:13,N,nominal,2.0NRT,266.52,1.35,N
54.8127,22.784,310.08,0.5,0.41,2025-02-24,01:13,N,nominal,2.0NRT,265.15,1.56,N
46.48032,30.08916,324.31,0.55,0.68,2025-02-24,01:13,N,nominal,2.0NRT,259.85,3.66,N
45.01379,29.59632,367,0.59,0.7,2025-02-24,01:13,N,high,2.0NRT,271.65,32.75,N
45.00786,29.59227,367,0.59,0.7,2025-02-24,01:13,N,high,2.0NRT,269.11,32.75,N
45.009,29.56713,367,0.59,0.7,2025-02-24,01:13,N,high,2.0NRT,268.77,10.84,N
44.98893,29.1715,345.93,0.57,0.69,2025-02-24,01:13,N,nominal,2.0NRT,263.65,6.72,N
44.98301,29.1678,324.34,0.57,0.69,2025-02-24,01:13,N,nominal,2.0NRT,262.33,3.73,N
54.81518,22.82797,295.26,0.5,0.41,2025-02-24,01:13,N,nominal,2.0NRT,264.65,1.17,N
48.77748,10.70251,296.94,0.4,0.37,2025-02-24,01:13,N,nominal,2.0NRT,273.95,0.4,N
44.34278,28.66516,303.16,0.56,0.69,2025-02-24,01:13,N,nominal,2.0NRT,268.35,1.03,N
